costs,locs,techs,cost_investment,,Investment Costs (milion Û),,,,Investment Costs (milion Û)
monetary,CNOR,Bio_PP_ex,104327582,CNOR,722.0804681,,,NORD,2428.95
monetary,CNOR,CCGT_PP_ex,232427324.6,CSUD,598.3376199,,,CNOR,722.08
monetary,CNOR,Coal_PP_ex,32796220.38,NORD,2428.954054,,,CSUD,598.34
monetary,CNOR,Geo_PP_ex,427296808.2,SARD,51.77821441,,,SICI,225.04
monetary,CNOR,Geo_PP_new,618717410.1,SICI,225.0443394,,,SUD,55.83
monetary,CNOR,Hydrodam_PP_ex,193623312.5,SUD,55.83170475,,,SARD,51.78
monetary,CNOR,Hydroror_PP_ex,106634504,,,,,Tot.,4082.03
monetary,CNOR,Hydroror_PP_new,0,,,,,,
monetary,CNOR,Oil_PP_ex,472265573.5,,,,,,
monetary,CNOR,PHS_PP_new,103363058,,,,,,
monetary,CNOR,PV_PP_ex,135992106,,,,,,
monetary,CNOR,PV_PP_new,0,,,,,,
monetary,CNOR,PV_roof_ex,286810476.1,,,,,,
monetary,CNOR,PV_roof_new,0,,,,,,
monetary,CNOR,WTE_PP_ex,25037999.79,,,,,,
monetary,CNOR,Wind_PP_ex,32630701.91,,,,,,
monetary,CNOR,Wind_off_PP_new,0,,,,,,
monetary,CNOR,Wind_on_PP_new,0,,,,,,
monetary,CSUD,Bio_PP_ex,184579568.1,,,,,,
monetary,CSUD,CCGT_PP_ex,1022680228,,,,,,
monetary,CSUD,Hydrodam_PP_ex,137987246.7,,,,,,
monetary,CSUD,Hydroror_PP_ex,168551312.8,,,,,,
monetary,CSUD,Hydroror_PP_new,0,,,,,,
monetary,CSUD,Oil_PP_ex,196777322.3,,,,,,
monetary,CSUD,PHS_PP_ex,402822116,,,,,,
monetary,CSUD,PHS_PP_new,120857372.6,,,,,,
monetary,CSUD,PV_PP_ex,138473282.5,,,,,,
monetary,CSUD,PV_PP_new,477480247.3,,,,,,
monetary,CSUD,PV_roof_ex,417178874.3,,,,,,
monetary,CSUD,PV_roof_new,0,,,,,,
monetary,CSUD,USC_PP_ex,447190011.9,,,,,,
monetary,CSUD,WTE_PP_ex,139341911.9,,,,,,
monetary,CSUD,Wind_PP_ex,455257262.8,,,,,,
monetary,CSUD,Wind_off_PP_new,0,,,,,,
monetary,CSUD,Wind_on_PP_new,0,,,,,,
monetary,NORD,Bio_PP_ex,1063972384,,,,,,
monetary,NORD,CCGT_PP_ex,3253982544,,,,,,
monetary,NORD,Hydrodam_PP_ex,1804373198,,,,,,
monetary,NORD,Hydroror_PP_ex,1317452098,,,,,,
monetary,NORD,Hydroror_PP_new,1011307877,,,,,,
monetary,NORD,Oil_PP_ex,196777322.3,,,,,,
monetary,NORD,PHS_PP_ex,1213498629,,,,,,
monetary,NORD,PHS_PP_new,361441230,,,,,,
monetary,NORD,PV_PP_ex,856005914.7,,,,,,
monetary,NORD,PV_PP_new,1056204947,,,,,,
monetary,NORD,PV_roof_ex,1152108991,,,,,,
monetary,NORD,PV_roof_new,0,,,,,,
monetary,NORD,WTE_PP_ex,329848432.1,,,,,,
monetary,NORD,Wind_PP_ex,39117528.2,,,,,,
monetary,NORD,Wind_off_PP_new,0,,,,,,
monetary,NORD,Wind_on_PP_new,0,,,,,,
monetary,SARD,Bio_PP_ex,47728812.8,,,,,,
monetary,SARD,CCGT_PP_ex,278912789.5,,,,,,
monetary,SARD,Coal_PP_ex,234383655,,,,,,
monetary,SARD,Hydrodam_PP_ex,45097075.31,,,,,,
monetary,SARD,Hydroror_PP_ex,13759290.84,,,,,,
monetary,SARD,Hydroror_PP_new,0,,,,,,
monetary,SARD,Oil_PP_ex,262369763.1,,,,,,
monetary,SARD,PHS_PP_ex,56792886.07,,,,,,
monetary,SARD,PHS_PP_new,0,,,,,,
monetary,SARD,PV_PP_ex,48087564.84,,,,,,
monetary,SARD,PV_PP_new,0,,,,,,
monetary,SARD,PV_roof_ex,127587205.7,,,,,,
monetary,SARD,PV_roof_new,0,,,,,,
monetary,SARD,WTE_PP_ex,4354434.747,,,,,,
monetary,SARD,Wind_PP_ex,215244690.3,,,,,,
monetary,SARD,Wind_off_PP_new,0,,,,,,
monetary,SARD,Wind_on_PP_new,51778214.41,,,,,,
monetary,SICI,Bio_PP_ex,31256036.7,,,,,,
monetary,SICI,CCGT_PP_ex,464854649.2,,,,,,
monetary,SICI,Hydrodam_PP_ex,3921484.81,,,,,,
monetary,SICI,Hydroror_PP_ex,44717695.23,,,,,,
monetary,SICI,Hydroror_PP_new,0,,,,,,
monetary,SICI,Oil_PP_ex,308284471.6,,,,,,
monetary,SICI,PHS_PP_ex,137549015.2,,,,,,
monetary,SICI,PHS_PP_new,0,,,,,,
monetary,SICI,PV_PP_ex,74553448.2,,,,,,
monetary,SICI,PV_PP_new,220926842.4,,,,,,
monetary,SICI,PV_roof_ex,195726421.9,,,,,,
monetary,SICI,PV_roof_new,0,,,,,,
monetary,SICI,Wind_PP_ex,417908869.1,,,,,,
monetary,SICI,Wind_off_PP_new,0,,,,,,
monetary,SICI,Wind_on_PP_new,4117497.053,,,,,,
monetary,SUD,Bio_PP_ex,278347678.2,,,,,,
monetary,SUD,CCGT_PP_ex,1022680228,,,,,,
monetary,SUD,Coal_PP_ex,669042895.8,,,,,,
monetary,SUD,Hydrodam_PP_ex,168378754,,,,,,
monetary,SUD,Hydroror_PP_ex,89435390.46,,,,,,
monetary,SUD,Hydroror_PP_new,0,,,,,,
monetary,SUD,Oil_PP_ex,572403366.4,,,,,,
monetary,SUD,PHS_PP_new,0,,,,,,
monetary,SUD,PV_PP_ex,131147904.1,,,,,,
monetary,SUD,PV_PP_new,0,,,,,,
monetary,SUD,PV_roof_ex,548590219.7,,,,,,
monetary,SUD,PV_roof_new,0,,,,,,
monetary,SUD,WTE_PP_ex,35924086.66,,,,,,
monetary,SUD,Wind_PP_ex,1189841197,,,,,,
monetary,SUD,Wind_off_PP_new,0,,,,,,
monetary,SUD,Wind_on_PP_new,55831704.75,,,,,,
co2,CNOR,Bio_PP_ex,0,,,,,,
co2,CNOR,CCGT_PP_ex,0,,,,,,
co2,CNOR,Coal_PP_ex,0,,,,,,
co2,CNOR,Geo_PP_ex,0,,,,,,
co2,CNOR,Geo_PP_new,0,,,,,,
co2,CNOR,Hydrodam_PP_ex,0,,,,,,
co2,CNOR,Hydroror_PP_ex,0,,,,,,
co2,CNOR,Hydroror_PP_new,0,,,,,,
co2,CNOR,Oil_PP_ex,0,,,,,,
co2,CNOR,PHS_PP_new,0,,,,,,
co2,CNOR,PV_PP_ex,0,,,,,,
co2,CNOR,PV_PP_new,0,,,,,,
co2,CNOR,PV_roof_ex,0,,,,,,
co2,CNOR,PV_roof_new,0,,,,,,
co2,CNOR,WTE_PP_ex,0,,,,,,
co2,CNOR,Wind_PP_ex,0,,,,,,
co2,CNOR,Wind_off_PP_new,0,,,,,,
co2,CNOR,Wind_on_PP_new,0,,,,,,
co2,CSUD,Bio_PP_ex,0,,,,,,
co2,CSUD,CCGT_PP_ex,0,,,,,,
co2,CSUD,Hydrodam_PP_ex,0,,,,,,
co2,CSUD,Hydroror_PP_ex,0,,,,,,
co2,CSUD,Hydroror_PP_new,0,,,,,,
co2,CSUD,Oil_PP_ex,0,,,,,,
co2,CSUD,PHS_PP_ex,0,,,,,,
co2,CSUD,PHS_PP_new,0,,,,,,
co2,CSUD,PV_PP_ex,0,,,,,,
co2,CSUD,PV_PP_new,0,,,,,,
co2,CSUD,PV_roof_ex,0,,,,,,
co2,CSUD,PV_roof_new,0,,,,,,
co2,CSUD,USC_PP_ex,0,,,,,,
co2,CSUD,WTE_PP_ex,0,,,,,,
co2,CSUD,Wind_PP_ex,0,,,,,,
co2,CSUD,Wind_off_PP_new,0,,,,,,
co2,CSUD,Wind_on_PP_new,0,,,,,,
co2,NORD,Bio_PP_ex,0,,,,,,
co2,NORD,CCGT_PP_ex,0,,,,,,
co2,NORD,Hydrodam_PP_ex,0,,,,,,
co2,NORD,Hydroror_PP_ex,0,,,,,,
co2,NORD,Hydroror_PP_new,0,,,,,,
co2,NORD,Oil_PP_ex,0,,,,,,
co2,NORD,PHS_PP_ex,0,,,,,,
co2,NORD,PHS_PP_new,0,,,,,,
co2,NORD,PV_PP_ex,0,,,,,,
co2,NORD,PV_PP_new,0,,,,,,
co2,NORD,PV_roof_ex,0,,,,,,
co2,NORD,PV_roof_new,0,,,,,,
co2,NORD,WTE_PP_ex,0,,,,,,
co2,NORD,Wind_PP_ex,0,,,,,,
co2,NORD,Wind_off_PP_new,0,,,,,,
co2,NORD,Wind_on_PP_new,0,,,,,,
co2,SARD,Bio_PP_ex,0,,,,,,
co2,SARD,CCGT_PP_ex,0,,,,,,
co2,SARD,Coal_PP_ex,0,,,,,,
co2,SARD,Hydrodam_PP_ex,0,,,,,,
co2,SARD,Hydroror_PP_ex,0,,,,,,
co2,SARD,Hydroror_PP_new,0,,,,,,
co2,SARD,Oil_PP_ex,0,,,,,,
co2,SARD,PHS_PP_ex,0,,,,,,
co2,SARD,PHS_PP_new,0,,,,,,
co2,SARD,PV_PP_ex,0,,,,,,
co2,SARD,PV_PP_new,0,,,,,,
co2,SARD,PV_roof_ex,0,,,,,,
co2,SARD,PV_roof_new,0,,,,,,
co2,SARD,WTE_PP_ex,0,,,,,,
co2,SARD,Wind_PP_ex,0,,,,,,
co2,SARD,Wind_off_PP_new,0,,,,,,
co2,SARD,Wind_on_PP_new,0,,,,,,
co2,SICI,Bio_PP_ex,0,,,,,,
co2,SICI,CCGT_PP_ex,0,,,,,,
co2,SICI,Hydrodam_PP_ex,0,,,,,,
co2,SICI,Hydroror_PP_ex,0,,,,,,
co2,SICI,Hydroror_PP_new,0,,,,,,
co2,SICI,Oil_PP_ex,0,,,,,,
co2,SICI,PHS_PP_ex,0,,,,,,
co2,SICI,PHS_PP_new,0,,,,,,
co2,SICI,PV_PP_ex,0,,,,,,
co2,SICI,PV_PP_new,0,,,,,,
co2,SICI,PV_roof_ex,0,,,,,,
co2,SICI,PV_roof_new,0,,,,,,
co2,SICI,Wind_PP_ex,0,,,,,,
co2,SICI,Wind_off_PP_new,0,,,,,,
co2,SICI,Wind_on_PP_new,0,,,,,,
co2,SUD,Bio_PP_ex,0,,,,,,
co2,SUD,CCGT_PP_ex,0,,,,,,
co2,SUD,Coal_PP_ex,0,,,,,,
co2,SUD,Hydrodam_PP_ex,0,,,,,,
co2,SUD,Hydroror_PP_ex,0,,,,,,
co2,SUD,Hydroror_PP_new,0,,,,,,
co2,SUD,Oil_PP_ex,0,,,,,,
co2,SUD,PHS_PP_new,0,,,,,,
co2,SUD,PV_PP_ex,0,,,,,,
co2,SUD,PV_PP_new,0,,,,,,
co2,SUD,PV_roof_ex,0,,,,,,
co2,SUD,PV_roof_new,0,,,,,,
co2,SUD,WTE_PP_ex,0,,,,,,
co2,SUD,Wind_PP_ex,0,,,,,,
co2,SUD,Wind_off_PP_new,0,,,,,,
co2,SUD,Wind_on_PP_new,0,,,,,,