carriers,locs,techs,timesteps,carrier_con
Power,CNOR,Trans:CSUD,2019-04-01 00:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 01:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 02:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 03:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 04:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 05:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 06:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 07:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 08:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 09:00:00,-6798.039822585413
Power,CNOR,Trans:CSUD,2019-04-01 10:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 11:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 12:00:00,-758700.9071949169
Power,CNOR,Trans:CSUD,2019-04-01 13:00:00,-1029044.8599437375
Power,CNOR,Trans:CSUD,2019-04-01 14:00:00,-692092.15025
Power,CNOR,Trans:CSUD,2019-04-01 15:00:00,-98255.33926000004
Power,CNOR,Trans:CSUD,2019-04-01 16:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 17:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 18:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 19:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 20:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 21:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 22:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-01 23:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 00:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 01:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 02:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 03:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 04:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 05:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 06:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 07:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 08:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 09:00:00,-59793.11736000003
Power,CNOR,Trans:CSUD,2019-04-02 10:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 11:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 12:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 13:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 14:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 15:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 16:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 17:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 18:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 19:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 20:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 21:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 22:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-02 23:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 00:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 01:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 02:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 03:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 04:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 05:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 06:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 07:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 08:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 09:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 10:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 11:00:00,-33646.18283999991
Power,CNOR,Trans:CSUD,2019-04-03 12:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 13:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 14:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 15:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 16:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 17:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 18:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 19:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 20:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 21:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 22:00:00,0.0
Power,CNOR,Trans:CSUD,2019-04-03 23:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 00:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 01:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 02:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 03:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 04:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 05:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 06:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 07:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 08:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 09:00:00,-568119.8403074145
Power,CNOR,Trans:NORD,2019-04-01 10:00:00,-1060251.39513
Power,CNOR,Trans:NORD,2019-04-01 11:00:00,-1240780.1397199999
Power,CNOR,Trans:NORD,2019-04-01 12:00:00,-474791.5105050833
Power,CNOR,Trans:NORD,2019-04-01 13:00:00,-80247.39930626267
Power,CNOR,Trans:NORD,2019-04-01 14:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 15:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 16:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 17:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 18:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 19:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 20:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 21:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 22:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-01 23:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 00:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 01:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 02:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 03:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 04:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 05:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 06:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 07:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 08:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 09:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 10:00:00,-263814.88951999974
Power,CNOR,Trans:NORD,2019-04-02 11:00:00,-491258.73245
Power,CNOR,Trans:NORD,2019-04-02 12:00:00,-541988.71009
Power,CNOR,Trans:NORD,2019-04-02 13:00:00,-322538.85231
Power,CNOR,Trans:NORD,2019-04-02 14:00:00,-33030.742800000124
Power,CNOR,Trans:NORD,2019-04-02 15:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 16:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 17:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 18:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 19:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 20:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 21:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 22:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-02 23:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 00:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 01:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 02:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 03:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 04:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 05:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 06:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 07:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 08:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 09:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 10:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 11:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 12:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 13:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 14:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 15:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 16:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 17:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 18:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 19:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 20:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 21:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 22:00:00,0.0
Power,CNOR,Trans:NORD,2019-04-03 23:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 00:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 01:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 02:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 03:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 04:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 05:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 06:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 07:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 08:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 09:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 10:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 11:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 12:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 13:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 14:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 15:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 16:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 17:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 18:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 19:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 20:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 21:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 22:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-01 23:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 00:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 01:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 02:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 03:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 04:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 05:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 06:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 07:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 08:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 09:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 10:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 11:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 12:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 13:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 14:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 15:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 16:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 17:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 18:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 19:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 20:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 21:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 22:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-02 23:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 00:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 01:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 02:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 03:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 04:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 05:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 06:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 07:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 08:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 09:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 10:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 11:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 12:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 13:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 14:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 15:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 16:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 17:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 18:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 19:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 20:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 21:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 22:00:00,0.0
Power,CNOR,Trans:SARD,2019-04-03 23:00:00,0.0
Power,CNOR,demand_power,2019-04-01 00:00:00,-2305152.25
Power,CNOR,demand_power,2019-04-01 01:00:00,-2250101.75
Power,CNOR,demand_power,2019-04-01 02:00:00,-2235495.75
Power,CNOR,demand_power,2019-04-01 03:00:00,-2191490.25
Power,CNOR,demand_power,2019-04-01 04:00:00,-2211958.5
Power,CNOR,demand_power,2019-04-01 05:00:00,-2345200.5
Power,CNOR,demand_power,2019-04-01 06:00:00,-2537346.0
Power,CNOR,demand_power,2019-04-01 07:00:00,-2912242.0
Power,CNOR,demand_power,2019-04-01 08:00:00,-3235953.25
Power,CNOR,demand_power,2019-04-01 09:00:00,-3051191.25
Power,CNOR,demand_power,2019-04-01 10:00:00,-2857346.5
Power,CNOR,demand_power,2019-04-01 11:00:00,-2766288.5
Power,CNOR,demand_power,2019-04-01 12:00:00,-2720939.5
Power,CNOR,demand_power,2019-04-01 13:00:00,-2678179.0
Power,CNOR,demand_power,2019-04-01 14:00:00,-2738123.25
Power,CNOR,demand_power,2019-04-01 15:00:00,-2799714.25
Power,CNOR,demand_power,2019-04-01 16:00:00,-2731040.0
Power,CNOR,demand_power,2019-04-01 17:00:00,-2600355.5
Power,CNOR,demand_power,2019-04-01 18:00:00,-2782845.25
Power,CNOR,demand_power,2019-04-01 19:00:00,-2831160.25
Power,CNOR,demand_power,2019-04-01 20:00:00,-2612167.5
Power,CNOR,demand_power,2019-04-01 21:00:00,-2412060.5
Power,CNOR,demand_power,2019-04-01 22:00:00,-2238476.0
Power,CNOR,demand_power,2019-04-01 23:00:00,-2051895.25
Power,CNOR,demand_power,2019-04-02 00:00:00,-1945142.25
Power,CNOR,demand_power,2019-04-02 01:00:00,-1879028.25
Power,CNOR,demand_power,2019-04-02 02:00:00,-1865929.0
Power,CNOR,demand_power,2019-04-02 03:00:00,-1858223.5
Power,CNOR,demand_power,2019-04-02 04:00:00,-1884364.25
Power,CNOR,demand_power,2019-04-02 05:00:00,-1951711.5
Power,CNOR,demand_power,2019-04-02 06:00:00,-2026660.5
Power,CNOR,demand_power,2019-04-02 07:00:00,-2227296.5
Power,CNOR,demand_power,2019-04-02 08:00:00,-2347538.5
Power,CNOR,demand_power,2019-04-02 09:00:00,-2398344.25
Power,CNOR,demand_power,2019-04-02 10:00:00,-2358236.5
Power,CNOR,demand_power,2019-04-02 11:00:00,-2260107.25
Power,CNOR,demand_power,2019-04-02 12:00:00,-2233253.25
Power,CNOR,demand_power,2019-04-02 13:00:00,-2301664.0
Power,CNOR,demand_power,2019-04-02 14:00:00,-2415792.0
Power,CNOR,demand_power,2019-04-02 15:00:00,-2441791.75
Power,CNOR,demand_power,2019-04-02 16:00:00,-2349586.0
Power,CNOR,demand_power,2019-04-02 17:00:00,-2371784.75
Power,CNOR,demand_power,2019-04-02 18:00:00,-2641879.25
Power,CNOR,demand_power,2019-04-02 19:00:00,-2769645.25
Power,CNOR,demand_power,2019-04-02 20:00:00,-2654392.0
Power,CNOR,demand_power,2019-04-02 21:00:00,-2460512.25
Power,CNOR,demand_power,2019-04-02 22:00:00,-2221130.25
Power,CNOR,demand_power,2019-04-02 23:00:00,-2041984.25
Power,CNOR,demand_power,2019-04-03 00:00:00,-2041152.75
Power,CNOR,demand_power,2019-04-03 01:00:00,-2011712.0
Power,CNOR,demand_power,2019-04-03 02:00:00,-2076436.75
Power,CNOR,demand_power,2019-04-03 03:00:00,-2176713.25
Power,CNOR,demand_power,2019-04-03 04:00:00,-2351582.5
Power,CNOR,demand_power,2019-04-03 05:00:00,-2813663.25
Power,CNOR,demand_power,2019-04-03 06:00:00,-3307697.0
Power,CNOR,demand_power,2019-04-03 07:00:00,-3964246.0
Power,CNOR,demand_power,2019-04-03 08:00:00,-4258293.75
Power,CNOR,demand_power,2019-04-03 09:00:00,-4253722.25
Power,CNOR,demand_power,2019-04-03 10:00:00,-4113771.75
Power,CNOR,demand_power,2019-04-03 11:00:00,-3846258.25
Power,CNOR,demand_power,2019-04-03 12:00:00,-3737290.0
Power,CNOR,demand_power,2019-04-03 13:00:00,-3861386.75
Power,CNOR,demand_power,2019-04-03 14:00:00,-3875241.25
Power,CNOR,demand_power,2019-04-03 15:00:00,-3822078.5
Power,CNOR,demand_power,2019-04-03 16:00:00,-3665631.0
Power,CNOR,demand_power,2019-04-03 17:00:00,-3499464.25
Power,CNOR,demand_power,2019-04-03 18:00:00,-3501849.75
Power,CNOR,demand_power,2019-04-03 19:00:00,-3548855.75
Power,CNOR,demand_power,2019-04-03 20:00:00,-3291969.0
Power,CNOR,demand_power,2019-04-03 21:00:00,-2980222.25
Power,CNOR,demand_power,2019-04-03 22:00:00,-2721003.5
Power,CNOR,demand_power,2019-04-03 23:00:00,-2494176.75
Power,CSUD,Trans:CNOR,2019-04-01 00:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 01:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 02:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 03:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 04:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 05:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 06:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 07:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 08:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 09:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 10:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 11:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 12:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 13:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 14:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 15:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 16:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 17:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 18:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 19:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 20:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 21:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 22:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-01 23:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 00:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 01:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 02:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 03:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 04:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 05:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 06:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 07:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 08:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 09:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 10:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 11:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 12:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 13:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 14:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 15:00:00,0.0
Power,CSUD,Trans:CNOR,2019-04-02 16:00:00,0.0
