locs,techs,energy_cap,,,,,,,,,,,,
CNOR,Bio_PP_ex,247000,,,,,,,,,,,,
CSUD,Bio_PP_ex,437000,,,,54000000,9188000,4282000,15595000,11716000,817000,22218000,491000,4049000
NORD,Bio_PP_ex,2519000,,,,Natural gas,Oil,Coal,Wind,Solar PV,Geothermal,Hydro,Waste,Biofuels
SARD,Bio_PP_ex,113000,,,,54,9.188,4.282,15.595,11.716,0.817,22.218,0.491,4.049
SICI,Bio_PP_ex,74000,,,,,,,,,,,,
SUD,Bio_PP_ex,659000,,,,,,,,,,,,
CNOR,CCGT_PP_ex,2000000,,,,,,,,,,,,
CSUD,CCGT_PP_ex,8800000,,,,,,,,,,,,
NORD,CCGT_PP_ex,28000000,,,,,,,,,,,,
SARD,CCGT_PP_ex,2400000,,,,,,,,,,,,
SICI,CCGT_PP_ex,4000000,,,,,,,,,,,,
SUD,CCGT_PP_ex,8800000,,,,,,,,,,,,
CNOR,Coal_PP_ex,150000,,,,,,,,,,,,
SARD,Coal_PP_ex,1072000,,,,,,,,,,,,
SUD,Coal_PP_ex,3060000,,,,,,,,,,,,
CNOR,demand_power,inf,,,,,,,,,,,,
CSUD,demand_power,inf,,,,,,,,,,,,
NORD,demand_power,inf,,,,,,,,,,,,
SARD,demand_power,inf,,,,,,,,,,,,
SICI,demand_power,inf,,,,,,,,,,,,
SUD,demand_power,inf,,,,,,,,,,,,
CNOR,Geo_PP_ex,817000,,,,,,,,,,,,
CNOR,Hydrodam_PP_ex,790000,,,,,,,,,,,,
CSUD,Hydrodam_PP_ex,563000,,,,,,,,,,,,
NORD,Hydrodam_PP_ex,7362000,,,,,,,,,,,,
SARD,Hydrodam_PP_ex,184000,,,,,,,,,,,,
SICI,Hydrodam_PP_ex,16000,,,,,,,,,,,,
SUD,Hydrodam_PP_ex,687000,,,,,,,,,,,,
CNOR,Hydroror_PP_ex,310000,,,,Natural gas,Oil,Coal,Wind,Solar PV,Geothermal,Hydro,Waste,Biofuels
CSUD,Hydroror_PP_ex,490000,,,,54,9.188,4.282,11.955,11.716,0.817,22.218,0.491,4.049
NORD,Hydroror_PP_ex,3830000,,,,,,,,,,,,
SARD,Hydroror_PP_ex,40000,,,,,,,,,,,,
SICI,Hydroror_PP_ex,130000,,,,,,,,,,,,
SUD,Hydroror_PP_ex,260000,,,,,,,,,,,,
CNOR,Oil_PP_ex,2160000,,,,,,,,,,,,
CSUD,Oil_PP_ex,900000,,,,,,,,,,,,
NORD,Oil_PP_ex,900000,,,,,,,,,,,,
SARD,Oil_PP_ex,1200000,,,,,,,,,,,,
SICI,Oil_PP_ex,1410000,,,,,,,,,,,,
SUD,Oil_PP_ex,2618000,,,,,,,,,,,,
CSUD,PHS_PP_ex,1681000,,,,,,,,,,,,
NORD,PHS_PP_ex,5064000,,,,,,,,,,,,
SARD,PHS_PP_ex,237000,,,,,,,,,,,,
SICI,PHS_PP_ex,574000,,,,,,,,,,,,
CNOR,PV_PP_ex,1151000,,,,,,,,,,,,
CSUD,PV_PP_ex,1172000,,,,,,,,,,,,
NORD,PV_PP_ex,7245000,,,,,,,,,,,,
SARD,PV_PP_ex,407000,,,,,,,,,,,,
SICI,PV_PP_ex,631000,,,,,,,,,,,,
SUD,PV_PP_ex,1110000,,,,,,,,,,,,
CNOR,PV_roof_ex,1650000,,,,,,,,,,,,
CSUD,PV_roof_ex,2400000,,,,,,,,,,,,
NORD,PV_roof_ex,6628000,,,,,,,,,,,,
SARD,PV_roof_ex,734000,,,,,,,,,,,,
SICI,PV_roof_ex,1126000,,,,,,,,,,,,
SUD,PV_roof_ex,3156000,,,,,,,,,,,,
CSUD,Trans:CNOR,4200000,,,,,,,,,,,,
NORD,Trans:CNOR,4500000,,,,,,,,,,,,
SARD,Trans:CNOR,300000,,,,,,,,,,,,
CNOR,Trans:CSUD,4200000,,,,,,,,,,,,
SARD,Trans:CSUD,1000000,,,,,,,,,,,,
SUD,Trans:CSUD,5700000,,,,,,,,,,,,
CNOR,Trans:NORD,4500000,,,,,,,,,,,,
CNOR,Trans:SARD,300000,,,,,,,,,,,,
CSUD,Trans:SARD,1000000,,,,,,,,,,,,
SUD,Trans:SICI,1500000,,,,,,,,,,,,
CSUD,Trans:SUD,5700000,,,,,,,,,,,,
SICI,Trans:SUD,1500000,,,,,,,,,,,,
CSUD,USC_PP_ex,1845000,,,,,,,,,,,,
SARD,Wind_off_PP_1,728000,,,,,,,,,,,,
SARD,Wind_off_PP_2,728000,,,,,,,,,,,,
SUD,Wind_off_PP_3,728000,,,,,,,,,,,,
SICI,Wind_off_PP_4,728000,,,,,,,,,,,,
SUD,Wind_off_PP_5,728000,,,,,,,,,,,,
CNOR,Wind_PP_ex,166000,,,,,,,,,,,,
CSUD,Wind_PP_ex,2316000,,,,,,,,,,,,
NORD,Wind_PP_ex,199000,,,,,,,,,,,,
SARD,Wind_PP_ex,1095000,,,,,,,,,,,,
SICI,Wind_PP_ex,2126000,,,,,,,,,,,,
SUD,Wind_PP_ex,6053000,,,,,,,,,,,,
CNOR,WTE_PP_ex,23000,,,,,,,,,,,,
CSUD,WTE_PP_ex,128000,,,,,,,,,,,,
NORD,WTE_PP_ex,303000,,,,,,,,,,,,
SARD,WTE_PP_ex,4000,,,,,,,,,,,,
SUD,WTE_PP_ex,33000,,,,,,,,,,,,